Feature,Correlation,Abs_Correlation,Feature_Type
humidity_2day_roll_avg,0.16669752209330074,0.16669752209330074,Temporal
humidity_4day_roll_avg,0.16669752209330074,0.16669752209330074,Temporal
humidity_3day_roll_avg,0.16669752209330074,0.16669752209330074,Temporal
swellHeight_2day_roll_avg,-0.15747988708573807,0.15747988708573807,Swell
swellHeight_4day_roll_avg,-0.15747988708573807,0.15747988708573807,Swell
swellHeight_3day_roll_avg,-0.15747988708573807,0.15747988708573807,Swell
swellPeriod_2day_roll_avg,-0.11890825402094776,0.11890825402094776,Swell
swellPeriod_4day_roll_avg,-0.11890825402094776,0.11890825402094776,Swell
swellPeriod_3day_roll_avg,-0.11890825402094776,0.11890825402094776,Swell
gust_3day_roll_avg,0.10056534610448054,0.10056534610448054,Temporal
gust_4day_roll_avg,0.10056534610448054,0.10056534610448054,Temporal
gust_2day_roll_avg,0.10056534610448054,0.10056534610448054,Temporal
waveHeight_3day_roll_avg,-0.09690020940371204,0.09690020940371204,Wave
waveHeight_4day_roll_avg,-0.09690020940371204,0.09690020940371204,Wave
waveHeight_2day_roll_avg,-0.09690020940371204,0.09690020940371204,Wave
wavePeriod_2day_roll_avg,-0.09090945101456555,0.09090945101456555,Wave
wavePeriod_4day_roll_avg,-0.09090945101456555,0.09090945101456555,Wave
wavePeriod_3day_roll_avg,-0.09090945101456555,0.09090945101456555,Wave
precipitation_sum_last_48h,-0.08815247840526107,0.08815247840526107,Precipitation
precipitation_sum_last_24h,-0.06832662650191755,0.06832662650191755,Precipitation
swellDirection_2day_roll_avg,-0.06012172194836009,0.06012172194836009,Swell
swellDirection_3day_roll_avg,-0.06012172194836009,0.06012172194836009,Swell
swellDirection_4day_roll_avg,-0.06012172194836009,0.06012172194836009,Swell
windDirection_4day_roll_avg,-0.05997180027040973,0.05997180027040973,Wind
windDirection_3day_roll_avg,-0.05997180027040973,0.05997180027040973,Wind
windDirection_2day_roll_avg,-0.05997180027040973,0.05997180027040973,Wind
waveDirection_3day_roll_avg,-0.05438287979019996,0.05438287979019996,Wave
waveDirection_4day_roll_avg,-0.05438287979019996,0.05438287979019996,Wave
waveDirection_2day_roll_avg,-0.05438287979019996,0.05438287979019996,Wave
pressure_3day_roll_avg,-0.047145383294594376,0.047145383294594376,Pressure
pressure_4day_roll_avg,-0.047145383294594376,0.047145383294594376,Pressure
pressure_2day_roll_avg,-0.047145383294594376,0.047145383294594376,Pressure
precipitation_2day_roll_avg,-0.03890432119565312,0.03890432119565312,Precipitation
precipitation_3day_roll_avg,-0.03890432119565312,0.03890432119565312,Precipitation
precipitation_4day_roll_avg,-0.03890432119565312,0.03890432119565312,Precipitation
atmospheric_atmospheric_visibility_km_km_2day_roll_avg,0.029969801941644555,0.029969801941644555,Temporal
atmospheric_atmospheric_visibility_km_km_3day_roll_avg,0.029969801941644555,0.029969801941644555,Temporal
atmospheric_atmospheric_visibility_km_km_4day_roll_avg,0.029969801941644555,0.029969801941644555,Temporal
seaLevel_3day_roll_avg,-0.023651542074936596,0.023651542074936596,Temporal
seaLevel_4day_roll_avg,-0.023651542074936596,0.023651542074936596,Temporal
seaLevel_2day_roll_avg,-0.023651542074936596,0.023651542074936596,Temporal
airTemperature_3day_roll_avg,0.021612748025639818,0.021612748025639818,Temperature
airTemperature_2day_roll_avg,0.021612748025639818,0.021612748025639818,Temperature
airTemperature_4day_roll_avg,0.021612748025639818,0.021612748025639818,Temperature
waterTemperature_2day_roll_avg,-0.011350591538163661,0.011350591538163661,Temperature
waterTemperature_4day_roll_avg,-0.011350591538163661,0.011350591538163661,Temperature
waterTemperature_3day_roll_avg,-0.011350591538163661,0.011350591538163661,Temperature
windSpeed_2day_roll_avg,0.0008730293246823631,0.0008730293246823631,Wind
windSpeed_3day_roll_avg,0.0008730293246823631,0.0008730293246823631,Wind
windSpeed_4day_roll_avg,0.0008730293246823631,0.0008730293246823631,Wind
cloudCover_2day_roll_avg,-0.00017066508176383766,0.00017066508176383766,Cloud
cloudCover_3day_roll_avg,-0.00017066508176383766,0.00017066508176383766,Cloud
cloudCover_4day_roll_avg,-0.00017066508176383766,0.00017066508176383766,Cloud
