Site_Code,Site_Name,Total_Samples,Train_Samples,Test_Samples,Avg_Visibility_m,MAE_m,RMSE_m,R2_Score,Within_3m_%
FWB,Freshwater Bay,10,8,2,4.0,1.1348663098332197,1.3652493753446602,0.5340235357802539,100.0
WAT,Watermans/North Beach,32,25,7,3.5714285714285707,1.5717126147080458,1.6817387644693942,0.28564939008230295,100.0
BUL,Bulk Jetty,56,44,12,4.166666666666667,1.6832894467265265,1.9083807866720044,0.18565825981491324,91.66666666666666
BIC,Bicton Baths,20,16,4,5.25,1.8117515525879644,1.9064372449803717,-4.2865497731612345,100.0
AMJ,Ammo Jetty,86,68,18,3.611111111111111,1.8705318248530733,2.369898326350124,-0.050040079067989796,83.33333333333334
KGT,Kwinana Grain Terminal,73,58,15,5.999999999999999,2.017524893254736,2.6778336044902105,-0.9918868925936206,80.0
CMT,Coogee Maritime Trail,56,44,12,4.175,2.095889699449008,3.100738512159436,-0.060017473408498834,83.33333333333334
ROB,Robbs Jetty,13,10,3,6.999999999999999,2.1685025671153837,2.5763806368584397,-2.318868592989551,66.66666666666666
PPR,Point Peron,50,40,10,7.2,2.1726376163261447,3.2425058752686433,0.00437080008033397,90.0
CMB,The Coombe & Mosman Bay,31,24,7,2.857142857142857,2.3731572830011123,2.9151742756631136,-2.1546500895220455,71.42857142857143
MET,Mettam’s Pool,42,33,9,5.777777777777778,2.6010772148950547,2.8558101240319647,-0.11967418411254327,66.66666666666666
FRE,South Fremantle,26,20,6,5.333333333333333,2.935024240527143,3.7383265483124926,-0.24530463798378133,66.66666666666666
WOO,Woodman Point,43,34,9,5.333333333333333,3.2761305803791294,3.709253481864518,-0.2635413523930248,44.44444444444444
PRT,Port Beach,33,26,7,6.999999999999999,3.372890519364241,5.8789149501834626,-0.13052096701137583,71.42857142857143
CAM,Camilla Wreck,11,8,3,8.666666666666666,3.9059916745447203,4.648195187705863,-0.8697256396837252,33.33333333333333
SCR,South Cottesloe Reef,72,57,15,7.2,3.928707281670691,5.713706129528264,-0.4385915570479819,46.666666666666664
RNN,Rottnest North,48,38,10,14.3,4.059134909470566,5.681448127571733,-0.09754684890473886,50.0
NMF,North Mole Fremantle,54,43,11,8.272727272727273,4.518462988468145,5.266187442093801,-0.9785733202872879,36.36363636363637
HIL,Hillarys,19,15,4,8.75,4.962102970114012,7.66132239938937,-0.343539019339292,75.0
RNW,Rottnest West,10,8,2,20.0,7.55106212145271,7.8862656674409894,-1.487727447098341,0.0
RKM,Rockingham Dive Trail,60,48,12,6.5,7.5564625116217945,8.8756424606313,-4.593635201583044,8.333333333333332
RTS,Rottnest South,29,23,6,13.333333333333334,7.675725020830772,8.900501512626017,-2.182903324046083,16.666666666666664
BWR,Blackwall Reach,25,20,5,2.6,10.055561859113634,10.178258628724974,-160.87023236439748,0.0
BSJ,Busselton Jetty,13,10,3,15.666666666666666,12.794964294317467,13.166883329949853,-14.921442343067381,0.0
