predictor,coefficient,std,abs_coefficient,window
month_cos,-0.17079661717938424,0.14745007287336498,0.17079661717938424,other
swellHeight_4day_roll_avg,-0.10760569899363354,0.4047547872932402,0.10760569899363354,4-day
swellHeight_3day_roll_avg,-0.10640775283595923,0.42382457426207837,0.10640775283595923,3-day
swellHeight_2day_roll_avg,-0.10632032620803904,0.41921532700884,0.10632032620803904,2-day
day_of_year_cos,0.08695651750177014,0.14890572172804017,0.08695651750177014,other
waveHeight_4day_roll_avg,0.0799752033298562,0.4175348203059759,0.0799752033298562,4-day
waveHeight_3day_roll_avg,0.06935574058048469,0.4093754378760038,0.06935574058048469,3-day
waveHeight_2day_roll_avg,0.0659952862759694,0.41482584111532705,0.0659952862759694,2-day
month_sin,0.041986773357927734,0.13108163852274635,0.041986773357927734,other
day_of_year_sin,-0.039372369191586244,0.13654938514897128,0.039372369191586244,other
precipitation_sum_last_24h,-0.03734635164794719,0.036889011362070005,0.03734635164794719,other
airTemperature_3day_roll_avg,0.03527880202409164,0.4044598494357069,0.03527880202409164,3-day
precipitation_sum_last_48h,-0.027927221573712545,0.03388797631958123,0.027927221573712545,other
waterTemperature_3day_roll_avg,-0.02150813071529172,0.41326993319132893,0.02150813071529172,3-day
cloudCover_3day_roll_avg,0.017155792315688884,0.40208466775892326,0.017155792315688884,3-day
windSpeed_3day_roll_avg,-0.016473478418493975,0.4066711596425072,0.016473478418493975,3-day
pressure_4day_roll_avg,0.014254695189050886,0.3986658948717524,0.014254695189050886,4-day
windSpeed_2day_roll_avg,-0.012767689225505592,0.40283729943070967,0.012767689225505592,2-day
waterTemperature_2day_roll_avg,-0.010759756046104517,0.40420028652531953,0.010759756046104517,2-day
pressure_2day_roll_avg,0.01013335958649369,0.41190528911835056,0.01013335958649369,2-day
airTemperature_2day_roll_avg,0.00817774243795344,0.40940501206991575,0.00817774243795344,2-day
precipitation_3day_roll_avg,0.007612473500156876,0.4107773514251321,0.007612473500156876,3-day
cloudCover_2day_roll_avg,0.006930647770002094,0.42019316817546976,0.006930647770002094,2-day
waterTemperature_4day_roll_avg,0.0065923952381719535,0.4053148377552479,0.0065923952381719535,4-day
cloudCover_4day_roll_avg,0.004351199339091222,0.4069477775017498,0.004351199339091222,4-day
pressure_3day_roll_avg,0.0035603224862680986,0.418480813749576,0.0035603224862680986,3-day
windSpeed_4day_roll_avg,-0.003260070405475294,0.40564894872873813,0.003260070405475294,4-day
airTemperature_4day_roll_avg,0.002372335704270069,0.4045585619358723,0.002372335704270069,4-day
precipitation_2day_roll_avg,0.002349935149651892,0.4084497840936251,0.002349935149651892,2-day
precipitation_4day_roll_avg,0.0015820888880138466,0.4123853661494869,0.0015820888880138466,4-day
