Site_Type,Parameter,Correlation,P_Value,N,Significant
PROBLEMATIC,Wind Speed (3d avg),0.025475061915004406,0.7299835630509827,186,No
PROBLEMATIC,Wave Height (3d avg),-0.03597274612324879,0.6259370849074282,186,No
PROBLEMATIC,Swell Height (3d avg),-0.09269848399109715,0.20823716106991041,186,No
PROBLEMATIC,Precipitation (3d avg),0.08974817560797294,0.223143979047414,186,No
PROBLEMATIC,Atmospheric Visibility,-0.12815108355194807,0.08130561246695622,186,No
PROBLEMATIC,Cloud Cover (3d avg),0.10986920706550027,0.13547959169999255,186,No
PROBLEMATIC,Wind Gusts (3d avg),0.09545169647677723,0.19498480490139103,186,No
PROBLEMATIC,Water Temp (3d avg),0.050639168861935396,0.4924539525149676,186,No
PROBLEMATIC,Precip Last 48h,0.007493494032820947,0.919145531025508,186,No
GOOD,Wind Speed (3d avg),-0.02399230971597393,0.7264919061778948,215,No
GOOD,Wave Height (3d avg),0.06218386882791135,0.36421771827531435,215,No
GOOD,Swell Height (3d avg),0.03433881674445334,0.6165693356631698,215,No
GOOD,Precipitation (3d avg),-0.04943145298038899,0.47089536711407104,215,No
GOOD,Atmospheric Visibility,0.04599057135438396,0.5023619611679974,215,No
GOOD,Cloud Cover (3d avg),0.03917494742065648,0.5678042686730843,215,No
GOOD,Wind Gusts (3d avg),0.03591210560006708,0.6005052344048438,215,No
GOOD,Water Temp (3d avg),-0.12496887523098194,0.06741497143912925,215,No
GOOD,Precip Last 48h,-0.1587182823096443,0.01988666418716431,215,Yes
