site,site_name,date,dyear/time,date time,visibility,conditions,notes,Report_Year,Report_Time_Local_String,Full_Local_Timestamp_String,DateTime_Local_Naive,DateTime_WAT,DateTime_UTC,Date_UTC,Time_UTC,report_id,weather_date_utc,airTemperature_2day_roll_avg,waterTemperature_2day_roll_avg,windSpeed_2day_roll_avg,windDirection_2day_roll_avg,waveHeight_2day_roll_avg,wavePeriod_2day_roll_avg,waveDirection_2day_roll_avg,swellHeight_2day_roll_avg,swellPeriod_2day_roll_avg,swellDirection_2day_roll_avg,cloudCover_2day_roll_avg,humidity_2day_roll_avg,precipitation_2day_roll_avg,atmospheric_atmospheric_visibility_km_km_2day_roll_avg,pressure_2day_roll_avg,gust_2day_roll_avg,seaLevel_2day_roll_avg,airTemperature_3day_roll_avg,waterTemperature_3day_roll_avg,windSpeed_3day_roll_avg,windDirection_3day_roll_avg,waveHeight_3day_roll_avg,wavePeriod_3day_roll_avg,waveDirection_3day_roll_avg,swellHeight_3day_roll_avg,swellPeriod_3day_roll_avg,swellDirection_3day_roll_avg,cloudCover_3day_roll_avg,humidity_3day_roll_avg,precipitation_3day_roll_avg,atmospheric_atmospheric_visibility_km_km_3day_roll_avg,pressure_3day_roll_avg,gust_3day_roll_avg,seaLevel_3day_roll_avg,airTemperature_4day_roll_avg,waterTemperature_4day_roll_avg,windSpeed_4day_roll_avg,windDirection_4day_roll_avg,waveHeight_4day_roll_avg,wavePeriod_4day_roll_avg,waveDirection_4day_roll_avg,swellHeight_4day_roll_avg,swellPeriod_4day_roll_avg,swellDirection_4day_roll_avg,cloudCover_4day_roll_avg,humidity_4day_roll_avg,precipitation_4day_roll_avg,atmospheric_atmospheric_visibility_km_km_4day_roll_avg,pressure_4day_roll_avg,gust_4day_roll_avg,seaLevel_4day_roll_avg,precipitation_sum_last_24h,precipitation_sum_last_48h
NMF,North Mole Fremantle,May 11,"2025, 9 a.m.",11-May-25   9 a.m.,6,Fair,4-6m,2025,9 AM,May 11 2025 9 AM,2025-05-11 09:00:00,2025-05-11 09:00:00+08:00,2025-05-11 01:00:00+00:00,2025-05-11,01:00:00,0,2025-05-11,19.524166666666662,21.274166666666662,3.168333333333333,134.90583333333333,0.8245833333333333,6.673750000000001,234.31875,1.3283333333333334,9.10375,238.05375,0.0,67.57916666666667,0.0,24.1325,1019.8154166666668,6.774166666666667,0.5216666666666666,19.524166666666662,21.274166666666662,3.168333333333333,134.90583333333333,0.8245833333333333,6.673750000000001,234.31875,1.3283333333333334,9.10375,238.05375,0.0,67.57916666666667,0.0,24.1325,1019.8154166666668,6.774166666666667,0.5216666666666666,19.524166666666662,21.274166666666662,3.168333333333333,134.90583333333333,0.8245833333333333,6.673750000000001,234.31875,1.3283333333333334,9.10375,238.05375,0.0,67.57916666666667,0.0,24.1325,1019.8154166666668,6.774166666666667,0.5216666666666666,0.0,0.06
RTS,Rottnest South,April 21,"2025, 2 p.m.",21-Apr-25   2 p.m.,7,Fair,Stragglers barge,2025,2 PM,April 21 2025 2 PM,2025-04-21 14:00:00,2025-04-21 14:00:00+08:00,2025-04-21 06:00:00+00:00,2025-04-21,06:00:00,1,2025-04-21,23.26083333333333,22.99291666666667,7.21125,41.63291666666667,1.9195833333333332,8.022499999999999,223.78583333333333,1.524166666666667,12.119583333333331,230.42583333333332,24.183333333333334,60.34166666666667,0.23,24.13416666666667,1015.40375,11.182916666666666,0.4945833333333334,23.26083333333333,22.99291666666667,7.21125,41.63291666666667,1.9195833333333332,8.022499999999999,223.78583333333333,1.524166666666667,12.119583333333331,230.42583333333332,24.183333333333334,60.34166666666667,0.23,24.13416666666667,1015.40375,11.182916666666666,0.4945833333333334,23.26083333333333,22.99291666666667,7.21125,41.63291666666667,1.9195833333333332,8.022499999999999,223.78583333333333,1.524166666666667,12.119583333333331,230.42583333333332,24.183333333333334,60.34166666666667,0.23,24.13416666666667,1015.40375,11.182916666666666,0.4945833333333334,0.08,0.08
KXI,K XI Submarine wreck,April 21,"2025, noon",21-Apr-25   12 p.m.,10,Fair,-,2025,12 PM,April 21 2025 12 PM,2025-04-21 12:00:00,2025-04-21 12:00:00+08:00,2025-04-21 04:00:00+00:00,2025-04-21,04:00:00,2,2025-04-21,23.26083333333333,22.199583333333333,7.21125,41.63291666666667,2.0708333333333333,8.032083333333334,224.77166666666665,1.524166666666667,12.119583333333331,230.42583333333332,24.183333333333334,60.34166666666667,0.23,24.13416666666667,1015.40375,11.182916666666666,0.4779166666666667,23.26083333333333,22.199583333333333,7.21125,41.63291666666667,2.0708333333333333,8.032083333333334,224.77166666666665,1.524166666666667,12.119583333333331,230.42583333333332,24.183333333333334,60.34166666666667,0.23,24.13416666666667,1015.40375,11.182916666666666,0.4779166666666667,23.26083333333333,22.199583333333333,7.21125,41.63291666666667,2.0708333333333333,8.032083333333334,224.77166666666665,1.524166666666667,12.119583333333331,230.42583333333332,24.183333333333334,60.34166666666667,0.23,24.13416666666667,1015.40375,11.182916666666666,0.4779166666666667,0.07,0.07
AMJ,Ammo Jetty,April 21,"2025, 9 a.m.",21-Apr-25   9 a.m.,1,Fair,"Terrible vis, turn around 🤣",2025,9 AM,April 21 2025 9 AM,2025-04-21 09:00:00,2025-04-21 09:00:00+08:00,2025-04-21 01:00:00+00:00,2025-04-21,01:00:00,3,2025-04-21,23.62333333333333,21.77333333333333,4.972916666666666,48.19125,0.8558333333333333,6.478333333333333,227.1975,1.524166666666667,12.119583333333331,230.42583333333332,20.870833333333334,38.50833333333333,0.26,23.59125,1016.0879166666668,11.0625,0.5029166666666667,23.62333333333333,21.77333333333333,4.972916666666666,48.19125,0.8558333333333333,6.478333333333333,227.1975,1.524166666666667,12.119583333333331,230.42583333333332,20.870833333333334,38.50833333333333,0.26,23.59125,1016.0879166666668,11.0625,0.5029166666666667,23.62333333333333,21.77333333333333,4.972916666666666,48.19125,0.8558333333333333,6.478333333333333,227.1975,1.524166666666667,12.119583333333331,230.42583333333332,20.870833333333334,38.50833333333333,0.26,23.59125,1016.0879166666668,11.0625,0.5029166666666667,0.01,0.01
KXI,K XI Submarine wreck,April 18,"2025, 10 a.m.",18-Apr-25   10 a.m.,10,Fair,-,2025,10 AM,April 18 2025 10 AM,2025-04-18 10:00:00,2025-04-18 10:00:00+08:00,2025-04-18 02:00:00+00:00,2025-04-18,02:00:00,4,2025-04-18,17.48,22.49708333333333,8.889166666666666,148.7475,2.433333333333333,6.409583333333334,213.2458333333333,1.9066666666666665,9.0475,221.1891666666667,24.1625,61.74583333333334,0.08,24.136666666666667,1017.75625,9.12625,0.3779166666666667,17.48,22.49708333333333,8.889166666666666,148.7475,2.433333333333333,6.409583333333334,213.2458333333333,1.9066666666666665,9.0475,221.1891666666667,24.1625,61.74583333333334,0.08,24.136666666666667,1017.75625,9.12625,0.3779166666666667,17.48,22.49708333333333,8.889166666666666,148.7475,2.433333333333333,6.409583333333334,213.2458333333333,1.9066666666666665,9.0475,221.1891666666667,24.1625,61.74583333333334,0.08,24.136666666666667,1017.75625,9.12625,0.3779166666666667,0.13,0.13
PRT,Port Beach,April 18,"2025, 10 a.m.",18-Apr-25   10 a.m.,2,Windy,Very milky,2025,10 AM,April 18 2025 10 AM,2025-04-18 10:00:00,2025-04-18 10:00:00+08:00,2025-04-18 02:00:00+00:00,2025-04-18,02:00:00,5,2025-04-18,17.48,22.264166666666668,8.889166666666666,148.7475,0.9295833333333332,5.6225,219.49666666666667,1.9066666666666665,9.0475,221.1891666666667,24.1625,61.74583333333334,0.08,24.136666666666667,1017.75625,9.12625,0.3533333333333333,17.48,22.264166666666668,8.889166666666666,148.7475,0.9295833333333332,5.6225,219.49666666666667,1.9066666666666665,9.0475,221.1891666666667,24.1625,61.74583333333334,0.08,24.136666666666667,1017.75625,9.12625,0.3533333333333333,17.48,22.264166666666668,8.889166666666666,148.7475,0.9295833333333332,5.6225,219.49666666666667,1.9066666666666665,9.0475,221.1891666666667,24.1625,61.74583333333334,0.08,24.136666666666667,1017.75625,9.12625,0.3533333333333333,0.13,0.13
AMJ,Ammo Jetty,April 6,"2025, 8 a.m.",6-Apr-25   8 a.m.,6,Fair,Milky but good vis,2025,8 AM,April 6 2025 8 AM,2025-04-06 08:00:00,2025-04-06 08:00:00+08:00,2025-04-06 00:00:00+00:00,2025-04-06,00:00:00,6,2025-04-06,23.80875,23.370833333333334,2.1575,154.62041666666667,0.5416666666666666,5.744583333333334,223.1745833333333,1.11875,8.83625,219.4875,12.395833333333334,54.1375,0.12,24.133333333333336,1013.9095833333334,2.960833333333333,0.5104166666666666,23.80875,23.370833333333334,2.1575,154.62041666666667,0.5416666666666666,5.744583333333334,223.1745833333333,1.11875,8.83625,219.4875,12.395833333333334,54.1375,0.12,24.133333333333336,1013.9095833333334,2.960833333333333,0.5104166666666666,23.80875,23.370833333333334,2.1575,154.62041666666667,0.5416666666666666,5.744583333333334,223.1745833333333,1.11875,8.83625,219.4875,12.395833333333334,54.1375,0.12,24.133333333333336,1013.9095833333334,2.960833333333333,0.5104166666666666,0.25,3.51
SCR,South Cottesloe Reef,April 5,"2025, 4 p.m.",5-Apr-25   4 p.m.,3,Fair,Better further out,2025,4 PM,April 5 2025 4 PM,2025-04-05 16:00:00,2025-04-05 16:00:00+08:00,2025-04-05 08:00:00+00:00,2025-04-05,08:00:00,7,2025-04-05,22.64833333333333,23.3075,7.624166666666666,85.80916666666667,0.6083333333333333,4.300416666666666,208.82541666666668,1.080833333333333,9.944166666666666,217.7783333333333,17.695833333333336,58.84583333333333,0.1,24.13875,1012.3591666666666,9.829583333333334,0.5008333333333334,22.64833333333333,23.3075,7.624166666666666,85.80916666666667,0.6083333333333333,4.300416666666666,208.82541666666668,1.080833333333333,9.944166666666666,217.7783333333333,17.695833333333336,58.84583333333333,0.1,24.13875,1012.3591666666666,9.829583333333334,0.5008333333333334,22.64833333333333,23.3075,7.624166666666666,85.80916666666667,0.6083333333333333,4.300416666666666,208.82541666666668,1.080833333333333,9.944166666666666,217.7783333333333,17.695833333333336,58.84583333333333,0.1,24.13875,1012.3591666666666,9.829583333333334,0.5008333333333334,1.75,3.86
SCR,South Cottesloe Reef,April 5,"2025, 4 p.m.",5-Apr-25   4 p.m.,4,Fair,Could see Patrick swimming around,2025,4 PM,April 5 2025 4 PM,2025-04-05 16:00:00,2025-04-05 16:00:00+08:00,2025-04-05 08:00:00+00:00,2025-04-05,08:00:00,8,2025-04-05,22.64833333333333,23.3075,7.624166666666666,85.80916666666667,0.6083333333333333,4.300416666666666,208.82541666666668,1.080833333333333,9.944166666666666,217.7783333333333,17.695833333333336,58.84583333333333,0.1,24.13875,1012.3591666666666,9.829583333333334,0.5008333333333334,22.64833333333333,23.3075,7.624166666666666,85.80916666666667,0.6083333333333333,4.300416666666666,208.82541666666668,1.080833333333333,9.944166666666666,217.7783333333333,17.695833333333336,58.84583333333333,0.1,24.13875,1012.3591666666666,9.829583333333334,0.5008333333333334,22.64833333333333,23.3075,7.624166666666666,85.80916666666667,0.6083333333333333,4.300416666666666,208.82541666666668,1.080833333333333,9.944166666666666,217.7783333333333,17.695833333333336,58.84583333333333,0.1,24.13875,1012.3591666666666,9.829583333333334,0.5008333333333334,1.75,3.86
AMJ,Ammo Jetty,March 31,"2025, 10 a.m.",31-Mar-25   10 a.m.,2,Glassy,"Pretty good for this site! Lots to see, worth the trip",2025,10 AM,March 31 2025 10 AM,2025-03-31 10:00:00,2025-03-31 10:00:00+08:00,2025-03-31 02:00:00+00:00,2025-03-31,02:00:00,9,2025-03-31,26.745,24.35166666666667,3.887916666666667,76.12125,0.4933333333333333,5.167916666666667,223.96666666666667,0.8395833333333332,9.645416666666668,229.0041666666667,3.2583333333333333,38.325,0.0,24.13791666666667,1011.085,7.80875,0.4599999999999999,26.745,24.35166666666667,3.887916666666667,76.12125,0.4933333333333333,5.167916666666667,223.96666666666667,0.8395833333333332,9.645416666666668,229.0041666666667,3.2583333333333333,38.325,0.0,24.13791666666667,1011.085,7.80875,0.4599999999999999,26.745,24.35166666666667,3.887916666666667,76.12125,0.4933333333333333,5.167916666666667,223.96666666666667,0.8395833333333332,9.645416666666668,229.0041666666667,3.2583333333333333,38.325,0.0,24.13791666666667,1011.085,7.80875,0.4599999999999999,1.14,8.33
